Timestamp,B. Ed. Year,Teaching Subject/ Method,Type of Internship School,Awareness of different types of softwares [Proprietary Software],Awareness of different types of softwares [Free and Open-Source Software],Awareness of different types of softwares [Pirated Software],Awareness of different types of softwares [All of the above],Awareness  of various Free and Open-Source Software(FOSS) [Libre office],Awareness  of various Free and Open-Source Software(FOSS) [Open office],Awareness  of various Free and Open-Source Software(FOSS) [Mozilla Firefox],Awareness  of various Free and Open-Source Software(FOSS) [Chromium],Awareness  of various Free and Open-Source Software(FOSS) [GIMP],Awareness  of various Free and Open-Source Software(FOSS) [VLC media player],Awareness  of various Free and Open-Source Software(FOSS) [Ubuntu],Awareness  of various Free and Open-Source Software(FOSS) [Open Shot],Awareness  of various Free and Open-Source Software(FOSS) [Audacity],Awareness  of various Free and Open-Source Software(FOSS) [MyPaint],Awareness  of various Free and Open-Source Software(FOSS) [Tuxpaint],Awareness  of various Free and Open-Source Software(FOSS) [Geogebra],Awareness  of various Free and Open-Source Software(FOSS) [Cmap],Awareness  of various Free and Open-Source Software(FOSS) [MAHARA],Awareness  of various Free and Open-Source Software(FOSS) [Moodle],Awareness  of various Free and Open-Source Software(FOSS) [Classroom 2.0],Awareness  of various Free and Open-Source Software(FOSS) [Google Earth],Awareness  of various Free and Open-Source Software(FOSS) [RCampus],Perceived Usefulness: [FOSS helped me perform teaching tasks effectively],Perceived Usefulness: [FOSS is a good alternative to paid software],Perceived Usefulness: [FOSS improved my digital teaching skills],Perceived Ease of Use: [FOSS tools were easy to use],Perceived Ease of Use: [FOSS tools were easy to use during classroom teaching],Perceived Ease of Use: [FOSS tools were user-friendly],Application of FOSS: [I used FOSS to prepare teaching-learning materials],Application of FOSS: [I used FOSS for lesson planning and assessment],Application of FOSS: [I regularly used at least one FOSS tool during my internship],Behavioral Intention: [I intend to use FOSS in future teaching],Behavioral Intention: [I am interested in learning more about FOSS tools],Behavioral Intention: [I will recommend FOSS to other teachers],Challenges and Security [Lack of training limits my use of FOSS],Challenges and Security [Limited technical support affects my use of FOSS],Challenges and Security [I feel FOSS tools are safe and secure for teaching use]
3/14/2026 16:11:03,,Science,,Partially Aware,Aware,Not Aware,Partially Aware,Not Aware,Aware,Not Aware,Aware,Not Aware,Partially Aware,Not Aware,Aware,Not Aware,Partially Aware,Not Aware,Aware,Partially Aware,Not Aware,Not Aware,Partially Aware,Partially Aware,Not Aware,Strongly disagree,Agree,Strongly disagree,Easy,Neither difficult nor easy,Very easy,Agree,Strongly agree,Disagree,Likely,Neutral,Very likely,Disagree,Strongly disagree,Strongly agree
3/14/2026 16:11:51,,Science,,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Strongly disagree,Strongly disagree,Strongly disagree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Disagree,Disagree,Disagree,Likely,Likely,Likely,Agree,Agree,Agree
3/14/2026 16:58:00,,Science,,Aware,Aware,Aware,Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Strongly agree,Strongly agree,Strongly agree,Easy,Easy,Easy,Agree,Neither agree nor disagree,Disagree,Very likely,Very likely,Likely,Neither agree nor disagre,Agree,Agree
3/14/2026 19:31:16,,Science,,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Aware,Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Agree,Agree,Agree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree
3/14/2026 19:32:07,,Science,,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,Neither agree nor disagre,Neither agree nor disagre,Neither agree nor disagre
3/14/2026 21:57:26,,Arts,,Partially Aware,Aware,Partially Aware,Partially Aware,Not Aware,Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Partially Aware,Aware,Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Disagree,Strongly disagree,Disagree,Easy,Neither difficult nor easy,Easy,Agree,Agree,Strongly agree,Likely,Likely,Neutral,Neither agree nor disagre,Agree,Neither agree nor disagre
3/14/2026 23:30:47,,Arts,,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Agree,Agree,Agree,Neither difficult nor easy,Easy,Easy,Disagree,Disagree,Disagree,Likely,Likely,Neutral,Agree,Agree,Agree
3/14/2026 23:32:05,,Arts,,Not Aware,Aware,Partially Aware,Aware,Not Aware,Not Aware,Aware,Aware,Not Aware,Aware,Partially Aware,Not Aware,Not Aware,Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Aware,Not Aware,Not Aware,Strongly disagree,Strongly disagree,Strongly disagree,Very difficult,Very difficult,Very difficult,Strongly disagree,Strongly disagree,Strongly disagree,Likely,Likely,Likely,Agree,Agree,Strongly agree
3/14/2026 23:35:42,,Science,,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,Neither agree nor disagre,Neither agree nor disagre,Neither agree nor disagre
3/14/2026 23:45:31,,Arts,,Not Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Not Aware,Partially Aware,Partially Aware,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,Neither agree nor disagre,Neither agree nor disagre,Neither agree nor disagre
